FALSE,Assigned,Customer,,FORMULA, Current , 1 - 30 , 31 - 60 , 61 - 90 , > 90 , TOTAL ,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Upcoming Payment ,Action Item / Follow-up Items,Mgt. Note Date,Local Management Notes,Days since contact,As Of Date,CPR Status,# Of Jobs In Progress,"# Of Jobs Completed, Pending Payment",CPR Notes,Company
,Josie,,"BROWN'S CONSTRUCTION SERVICE, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45777,No Open Invoice JS,,,,386,,,,,,TCS
,Sylvia,,Browns Construction,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,BRSO LLC DBA ROOSTER'S HONKY TONK,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45777,No Open Invoice JS,,,,386,,,,,,TCS
,Josie,,BSK,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45979,Emailed Erika Back asking if she has heard back from her VP regarding  joint check ,problems with union letters,,,184,1/28/2025,"Completed, Pending Payment",,1,62091 ONGOING. Ready for payment on what has been compelted,TCS
,Josie,,BURTCH CONSTRUCTION,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46157,"Said check is ready $4,440.00 94514 put message in slack  Lui to pick up ",,,,6,1/27/2025,In Progress,2,,95255 on my list to complete  & 88734  In process of being complete,TCS
,Josie,,C. A. RASMUSSEN INC.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45777,No open Invoice JS,,,,386,,,,,,TCS
,Sylvia,Fresno,CAL GOLD CONSTRUCTION CORPORATION,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46134,"$650.00 payment out yesterday, per Sherri Account paid in full. (fresno account)",,,,29,,,,,,TCS
,Josie,,CAL VALLEY CONSTRUCTION,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46070,"Per Lui , reached out to Hammer regarding this account, also the reason for me not to contact this customer ?waiting on Hammer to reply went to Hammer said he never said that ",,,,#REF!,,,,,,TCS
,Josie,,CAL VALLEY CONTRACTORS,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45805,Julia mailed ck 14086 JS Status report and invoice show differnt dates let her know we have not recevied yet said to contact if we do not recevie by Friday,,,,358,,,,,,TCS
,Sylvia,,CALIFORNIA STRIPING,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45888,"$565.00 Ck-9321 out Yesterday, per Mark -left message for A/P regarding payment information on July-12 invoice, also sending an email",,,,275,,,,,,TCS
,Lui,,CALIFORNIA TRAFFIC CONTROL,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46125,sent open balance report. and requested payment info ,,12/4/24,"05.19.2025- Sent an E-mail to CTC Controller- Kelly- awaiting response- CC'd Lui in the e-mail- ASHLEY- Took payment a week or two ago. Had to revise invoices. Got it all fixed last week. Confirming with them to get 61-90, and some other recent invoices paid. Terms are Due upon receipt, have CC on profile, walked in and wanted rumble strips. Didn't hear from them for a while until truck rental popped up, ran CC and that's the last we have. Running CC about every 30 days",38,,,,,,TCS
,Josie,,CALMEX ENGINEERING INC,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45846,No open Invoices JS,,,,317,,,,,,TCS
,Sylvia,,"CAM BUILDING MAINTENANCE, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45840,"(7-2-25) talk to Joseph said yes, charge credit card on file $2,466.72 May-24 invoice and email receipt.  --(6-26-25) emailing Joseph/Chris, see if we could run credit card on file for May-24 invoice, waiting for reply. ---(sylvia 6-13-25) emailed Joseph Balance Report and May-24 invoice  ---left message for A/P regarding May-24 invoice for $2,466.72 waiting for response (sylvia 6-6-25)",,,,323,,,,,,TCS
,Sylvia,Fresno,"CAMPUS POINTE ANNEX HOTEL, LLC",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46113,made a payment ,,,,50,,,,,,TCS
,Sylvia,,CARDINAL TREE SERVICE,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,CARLOS ANDRES CARRILLO GARCIA,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45957,"Dont call customer-Carlos, he already paid cash on the same date to Yarely (said girl with Glasses) it shows paid on TCR but not in QB. Logan notified",,,,206,,,,,,TCS
,Lui,,Carlos Andres Carrillo Garcia ( CASH ),,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,CDM SMITH INC.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,CEN-CAL CONSTRUCTION,,  ,,,,,,,Active,Paid,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,"CENTRAL IRRIGATION, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,"CENTURY PAVING, INC",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46020,Said they are still waiting on payment ,,,,143,,,,,,TCS
,Josie,,"CERES ENTERPRISES, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,CERVANTES LANDSCAPE SERVICES,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,CITY OF FRESNO WATER DIVISION,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,CITY OF FRESNO/PARKS/SPECIAL EVENTS,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45943,"David replied said payment in process.   -email Accounting and David, regarding Sept-20 invoice see if received, ",,,,220,,,,,,TCS
,Sylvia,,CITY OF KERMAN.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45947,"$810.00 Check mail out today per Denise.  -following up on payment with Denise, regarding the Sept-13 invoice.",,,,216,,,,,,TCS
,Josie,,CITY OF TEHACHAPI,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45930,Grace said yes the payment will go out on the 7th ,,,,233,,,,,,TCS
,Sylvia,,CJ TORRES CONSTRUCTION INC,,  ,,,,,,,Active,Contacted,,WEEKLY,45846,not in tcr,,,,317,,,,,,TCS
,Sylvia,,CLOVIS MADERA EQUIPMENT,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45855,"-Tricia replied $3,200.00 check ready for pick up, Hammer is going. -left message for Patricia regarding payment on those May invocies like promised, also sending her an email , waiting for reply",,,,308,,,,,,TCS
,Sylvia,,CLOVIS RODEO ASSOCIATION,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,"CM CONSTRUCTION SERVICES, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45911,"$6,750.00 check ready for pick today, per Ana, Visalia team to pick up Brad",,,,252,,,,,,TCS
,Josie,,"COLOMBO CONSTRUCTION COMPANY, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,COLUMN PI4,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45846,not in tcr,,,,317,,,,,,TCS
,Josie,,"Comet Electric, Inc.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,Bryce emailed Lida on 2/12/25 about remaining $3511 retention,DATE NEEDED,,,,,,TCS
,Sylvia,,CONCRETE VALUE CORP,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45925,$410.00 with Credit Card today per Ulani,,,,238,,,,,,TCS
,Sylvia,,"CONTRA COSTA ELECTRIC, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,COUNTY LINE RESOURCES,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,CRIMSON RESOURCE MANAGEMENT CORP.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,CROWN CONSTRUCTION ENGINEERING,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,"CVE DEMOLITION, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,10/29/2024,all invoices for Visalia in current status (visalia),DATE NEEDED,,,,,,TCS
,Sylvia,,"D.A. WOOD CONSTRUCTION, INC. (CASH)",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45845,"(7-7-25)Talk to Aly, say Yes payment this week or next one for the June-7 invoice.  ***paid $1,092.00 on 6-17-25***  (sylvia 6-18-25) talk to Aly, said payment out already, $1,092.00 but for me to email her new Balance for both TCS  & Inc. April-26 invoice still due for TCS.  ---another email and call to A/P Ali regarding the past due invoice April-19 waitting for reply (sylvia 6-6-25)",,,,318,,,,,,TCS
,Sylvia,,D.R. HORTON,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,DALE G MELL & ASSOCIATES,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,"DAVIS ENGINEERING CONSTRUCTION, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,DBSI,,  ,,,,,,,Active,Contacted,LUI,WEEKLY,45876,Called no answer looked in QB did not find open invoices need to look in signs . was not in signs ,,,,287,,,,,,TCS
,Josie,,DEE JASPER & ASSOCIATES INC.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45846,not in tcr,,,,317,,,,,,TCS
,Josie,,DERREL'S MINI STORAGE INC.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45778,April 12th Invoice,,,,385,,,,,,TCS
,Sylvia,,"DG CONSTRUCTION, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45987,"following up by email again regarding those past due invoices from July, August and Sept, also called left message, waiting for response.",,,,176,,,,,,TCS
,Sylvia,,DO IT RIGHT PLUMBING & DRAIN CLEANING LLC,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Lui,,DOTY BROS. EQUIPMENT CO.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45986,per jordan they called about upcoming payment for the wm lyles side,,02-12-25,"Bryce emailed Brenda with an open balance sheet and asking for payment                                                                                                                                                 05.07.2025- Brenda responded to my E-mail, they will have a check ready for us to pick up on Friday, She will ler me know when it is ready, she did confirm it will be for $23,000. -Ashley-",177,,,,,,TCS
,Josie,,DTS TELE COM,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45903,"talk to Dan, said those invoices need to bill to:LTEC that Dylan knows about it, so emailing Dylan regarding these invoices.",,,,260,,,,,,TCS
,Josie,,"EAGLE LAND DEVELOPMENT, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,EAST NILES COMMUNITY SERVICES DISTRICT,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,"EFI ENGINEERING, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45686,"following up with Ronald regarding that payment, to see if he has an estimated date on the payment of $20,598.23 (sg)",,2/10/2025,,477,,,,,,TCS
,Josie,,El Camino Asphalt,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,Sacramento,ELEVEN WESTERN BUILDERS,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46139,"$845.00 payment out Friday for the Feb-13 invoice per Nohemi, ",,,,24,,,,,,TCS
,Josie,,ELITE CONTRACTORS INC,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45707,"left message for Tracy, also sending her an email regarding Dec/Jan invoices  Open Balance, cc:gary/Nic/Seth  (sg)  -another email to customer regarding those invoices following up on payment cc:Bryce/Seth/Nic",,03/04/25,"The job is a duplicat. custommer returned equipment on 12/20/24 a credit for invoice. job# 096425. invoice # 097204, 097079, 096949, 096903, 0096572, 096390, 096247, & 096094. nned to be void and (095980, 095854,09565, & 095491 need credit for $1,069.2) (louie)",456,,,,,,TCS
,Josie,,"EMERGENCY SANITATION DEPLOYMENT, LLC DBA",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,ERNESTO SILVA ESCOBAR,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45861,"Ernesto left message  I called him back no answer  left him a message 
Called and emailed Ernesto again second time calling him  today no answer and waiting on response from the email I sent  ",,,,302,,,,,,TCS
,Sylvia,,"EXCEL ELECTRIC, INC",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,FCON3,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45909,"$949.70 check out on today's mail, email Correne confirming payment, ",,,,254,,,,,,TCS
,Josie,,"FERREIRA, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45835,"I keep calling no answer twice Called again and tried 3 times no answer was able to leave voice mail on admins # also sent email  Called again did not answer could not leave Voice mail its full Josie called also and sent email on 6/6/25 ***lui left a voicemail 6-6-25*** Calling again customer regarding payment information on those Oct/Dec invoices, last month Melinda mentioned that Jennifer and her team was working on getting those paid, nothing till now, left another message also another email, cc:Jose Gil",,,,328,,,,,,TCS
,Sylvia,,FIBER TEL,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45846,getting with Fresno team on this Acct (sg),,,,317,,,,,,TCS
,Sylvia,,FLOYD JOHNSTON CONSTRUCTION,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,"FRAIJO BROTHERS, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,"FRESNO ARTS COUNCIL, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45937,"$131.70 Ck-5028 for the August invoice, per Maritza",,,,226,,,,,,TCS
,Josie,,FROEHLICH SIGNATURE HOMES,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45839,Spoke with Lisa said that she sent out check 2425 on the 27th to the Merle Haggard Drive,,,,324,,,,,,TCS
,Sylvia,,"G.L. BRUNO ASSOCIATES, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,G.M. ENGINEERING INC.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,"GANEM CONSTRUCTION, LLC",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45839,"*Could not leave message **left a voice mail 6-6-25*** talk to Dale regarding Jan-25 invoice, said he will be paying that invoice sometime next week, for me to follow up Wed or Thus.  (sg)  -Following up on payment with Dale, however said he still waitting on funds, hope next week,  (sg)",,,,324,,,,,,TCS
,Sylvia,,GARLIN FRINK CONSTRUCTION,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45862,(lui) customer not answering. sending to collections. ,,,,301,,,,,,TCS
,Sylvia,,GARY MCDONALD HOMES,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,"GCI CONSTRUCTION, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,GILL REEVES CO INC,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,GL BRUNO ASSOCIATES INC (CASH),,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,GOLDEN STATE UTILITY CO.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,Golden Valley Concrete ( CASH ),,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45846,"no answer from this customer, no email, -no able to collect from this customer getting with Fresno team (sg)",,,,317,,,,,,TCS
,Josie,,GOLDSMITH CONSTRUCTION,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45839,"This account is not due till July 7th  We Recevied check on Kelly sent out check #100237 for $11,955.64 that paid April  (26) invoice dated 5/30/2025 Does not want calls till they are past due or she will look for a new vender (per josie customer want 45days terms)",,,,324,1/27/2025,"Completed, Pending Payment",,1,91526 Ready for Payment,TCS
,Sylvia,,GOMEZ ARTHUR III (CASH),,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45862,(lui) need to write-off not worth sending to collection agency ,,,,301,,,,,,TCS
,Josie,,GPHI,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45862,(lui) paying invoice in this run,,,,301,,,,,,TCS
,Josie,,"GRACYBIRCH CONSTRUCTION, LLC",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,"GRAHAM CONTRACTORS, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,GRANVILLE HOMES,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46045,"$4,196.50 Ck-1317 payment out yesterday per Kristina.",,2/14/2025,Hammer- .check will be ready 2-20-25,118,,,,,,TCS
,Josie,,GREENFIELD COUNTY WATER DISTRICT,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45814,Called spoke with Jessica said ap was not in today gave me her emailadress emailed May 24 invoice,,901.84 on 7/21/25,,349,,,,,,TCS
,Sylvia,,"GROVE GENERAL, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,Visalia ,"GROVER LANDSCAPE SERVICES, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46099,Called spoke with Ann said that check 40888 went out in yesterdays mail ,,,,64,,,,,,TCS
,Josie,,"GURDWARA GURU ANGAD DARBAR, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,HAITBRINK ASPHALT PAVING INC.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,"HAL HAY'S CONSTRUCTION, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45807,Spoke with Biinica said check #44792 went out on 5/28/25,,,,356,,,,,,TCS
,Josie,,HAYDON CONSTRUCTION,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46126,Called no answer emailed status report asking for payment update ,,,,37,,,,,,TCS
,Josie,,HECTORS PLUMBING INC.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46091,promise to pay this week and requested missing invoices ,,,,72,,,,,,TCS
,Josie,,HERITAGE BIBLE CHURCH OF BAKERSFIELD,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,HISTORIC UNION CEMETERY,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45806,Griselda said to go and pick up check Lui picked up,,,,357,,,,,,TCS
,Sylvia,Fresno / Visalia,HOLLOWAY CONSTRUCTION INC.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46094,left message for A/P or Accounting see if email is accurate and invoices received.,,,,69,,,,,,TCS
,Josie,,"HONDA PREFORMANCE DEV., INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Lui,,"HORTA DESIGN AND CONSTRUCTION, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45855,paid,,,,308,,,,,,TCS
,Yareli,Fresno ,HP COMMUNICATION SVA (JERRY'S TRENCHING),,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46113,victoria is working on it,,12/4/24,Jordan to speak with russ ,50,,,,,,TCS
,Josie,,"HPS MECHANICAL, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45995,requested update on the account from yareli  3invoices are way past due,,,,168,,,,,,TCS
,Josie,,"HUDDLESTON CRANE SERVICE, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,"INNOVATIVE ENGINEERING SYSTEMS, INC. DBA",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,INTERSTATE LAND COMPANY,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,"J. & H. DRILLING CO., INC., DBA MR DRILLI",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,J&M UNDERGROUND INC.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,JACO OIL COMPANY,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,"JACOBSSON ENGINEERING CONSTRUCTION, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45876,"Victoria said check #19470 went out on the 4th $3,357.25",,,,287,,,,,,TCS
,Sylvia,,JJ LEON CONSTRUCTION (CASH),,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,JM PIPELINE CONSTRUCTION INC.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45929,Received invoice ,,,,234,1/27/2025,Not Started,1,,96146,TCS
,Sylvia,,JOHNSON AIR (CASH),,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,"JON ROWLES CONSTRUCTION, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,"JOSEPH CONSTRUCTION AND CONSULTING, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46020,Said she will see what she can do ,,,,143,,,,,,TCS
,Sylvia,,JP MARKETING,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45841,"(7-3-25)Invoice is a voided invoice, give to Victoria to clear from Q.B.",,,2-2020 invoice,322,1/27/2025,Not Started,1,,96146 On my list to complete,TCS
,Josie,,JP OIL,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,"JR ASPHALT, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45785,"contact customer waiting on a respond (sg) -another attempt but not able to get a hold of customer Christel on A/P (sg) left another message, Not replying back (sg)",,,,378,,,,,,TCS
,Sylvia,,JULIEANN M. LOPEZ-RICKEY,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,Kali Wheels,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45861,paid invoice after reaching for moths ,,,,302,,,,,,TCS
,Sylvia,Visalia,"KAWEAH PUMP, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46071,"$5,722.50 Ck-45749 Meranda just confirmed that payment went out yesterday.  -I talked to Meranda; she said the check is printed and waiting for signature, she will send out an email when is ready for pick up. i email her as well asking for copy of check.",,,,92,,,,,,TCS
,Josie,,"KAYLOR LANDSCAPE, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,KERN ASPHALT,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45861,Maria said yes she has three invoices and there turn around time is 30 days,,,,302,,,,,,TCS
,Josie,,KERN COUNTY PUBLIC HEALTH DEPARTMENT,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,KERN COUNTY PUBLIC WORKS DEPARTMENT,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45740,No Invoice in TCR to email to customer Bakersfield need to located invoice #00091477 not in TCR management attention,,,,423,,,,,,TCS
,Josie,,KERN PACIFIC CONSTRUCTION,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46157,Emailed Ashlee the receipt of yesterday charge ,,12-17-24,"(sylvia) left message for Verity regarding Oct-10 and November invoices, also sending her an email cc:Nic/Seth",6,,,,,,TCS
,Sylvia,,KPW COMPANY INC (CASH),,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45846,"emailed customer invoice asking for payment March-12 invoice, waiting for reply (sg)",,,,317,,,,,,TCS
,Sylvia,Fresno,"KROEKER, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46055,"$12,570.00 with credit card, offering a 2% discount. paying in full",,3/11/25,(DH) Contacted re: open invoices,108,,,,,,TCS
,Josie,O.C /Fresno / Bakersfield,"LANDSCAPE DEVELOPMENT, INC.",,  ,,,,,,,Active,Paid,COLLECTION TEAM,WEEKLY,46127,Chere said that payables went out this week and  SFN did not make it they went through a big layoff so she will try for next week ,,,,36,,,,,,TCS
,Josie,,"LANE TAKERS, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46029,No balance paid bill 12/18/25 $1935.00,,,,134,,,,,,TCS
,Josie,,"LAWRENCE BACKHOE SERVICE, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,"LEFT COAST CONCRETE AND PAVERS, LLC",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45813,***lui paid 3600 on 6-5-25***,,,,350,,,,,,TCS
,Josie,,LENTZ CONSTRUCTION GENERAL ENGINEERING CO,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45862,(lui) need to write-off not worth sending to collection agency ,,,,301,,,,,,TCS
