,,,,,,,,,,,,
,,,,,,,,,,,,
Assigned,BRANCH ,Customer,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Action Item / Follow-up Items,Local Management Note date,Local Management Notes,Days since contact
Josie,,"SOUTH VALLEY COMPANIES, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,7/9/2025,Taylor said that they have the June invoices and does not have a payment date yet said to call back next week ,,,,315
Josie,,SOUTHERN CALIFORNIA EDISON,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,SOUTHERN CALIFORNIA EDISON (CASH),Active,Contacted,COLLECTION TEAM,WEEKLY,7/1/2025,"(7-1-25) calling nunber on file however no answer, was able to leave a message for A/P. ---April 17, 2021 invoice. Q.B said customer paid already on 8-2-2023",,,,323
Josie,,"SPECIALTY CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,SPROUSE COMMUNICATION INC,Active,Contacted,COLLECTION TEAM,WEEKLY,7/3/2025,"(7-3-25)Invoice showing paid on TCR, talk to Victoria is a short pay invoice for $10.00, Invoice clear now.  ---Feb-2024 invoice, not able to leve messages also not replying to emails (sg)",,,,321
Josie,,STOUT BUILDING CONTRACTORS (CASH),Active,Contacted,COLLECTION TEAM,WEEKLY,6/5/2025,This  Account has been sent to Richard Per Kevin do not contact  9/20/23,,,,349
Josie,,"SUMMIT CAPITAL VENTURES, INC. DBA JOHN BA",Active,Contacted,COLLECTION TEAM,WEEKLY,6/24/2025,Spoke wiht Mary said the three invoice are set to be paid July 1st,,,,330
Josie,,SUPERIOR BARRICADES,Active,Contacted,COLLECTION TEAM,WEEKLY,10/3/2025,Reach out to confirm he received invoices waiting on response ,,,,229
Josie,,SUPERIOR CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,6/20/2025,Called Spoke with Nicole regarding 98901 said to email it and she will respond Nicole said a check should be cut with in 14 days,,,,334
Josie,,"SURFACE SOLUTIONS, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,2/2/2026,Customer paid balance on 1/30/2026,,,,107
Josie,,SW CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,2/18/2026,Contacted customer to make sure that Elias was still PM waiting on response ,,,,91
Sylvia,,SYNERGY CONSTRUCTION & DEVELOPMENT CORP,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"T.E. ROBERTS, INC",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,TARLTON ESTATE AND ASSET MANAGEMENT,Active,Contacted,COLLECTION TEAM,WEEKLY,3/2/2026,Called Arron to confirm receipt of invoice 00104252,,,,79
Josie,,TEJON INDIAN TRIBE,Active,Contacted,COLLECTION TEAM,WEEKLY,8/4/2025,"Waiting on responce from customer  on payment she said it was to be processed last week 
Clarissa responded to my email said that check 14136 was mailed on 7/31/2025",,,,289
Josie,,TEJON OUTLETS,Active,Contacted,COLLECTION TEAM,WEEKLY,7/8/2025,not in tcr,,,,316
Sylvia,,"TELCON SERVICES, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,1/15/2026,Reached out to Jeff via email re: the 2 invoices still outstanding,,1/15/26,Followed up with Jeff to see about getting payment.  Waiting on response,125
Josie,,"THE HUB OF BAKERSFIELD, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,THE OPEN DOOR NETWORK,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,THE PLUMBING DOC INC. (CASH),Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,THE SIGN GUYS,Active,Contacted,COLLECTION TEAM,WEEKLY,7/8/2025,not in tcr,,,,316
Josie,,"THOMAS PROPERTY MANAGEMENT, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Lui,,TIDWELL EXCAVATING,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,"TIGER TEA HOUSE, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,3/17/2026,"left message for A/P regarding March ivoices,",,,,64
Sylvia,,TOM COREA CONSTUCTION INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,5/2/2025,"talk to Jeremy, said to resent invoice he will talk to his controller and get back to us, 5-2-2025 (sg) Jeremy reply back, said payment next week (sg)",,,,383
Lui,,TONYS PLUMBING SERVICE,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"TOSTE CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"TOSTED ASPHALT, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"TOTAL-WESTERN, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,TPA CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,9/18/2025,Wanted to know if we were SBE let her know we were not ,,,,244
Sylvia,,"TRI-STATE GENERAL CONTRACTORS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,6/10/2025,"Finally, i was able to talk to someone on Accounting, Sheryl said for me to email the Nov-2 invoice to a different email,  cc:Gary/Nic/Seth  (sg)",,,,344
Josie,,"TRICOM NETWORKS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,9/30/2025,left message regarding payment or received of August invoices,,,,232
Sylvia,,TRUXELL & VALENTINO LANDSCAPE DEVELOPMENT,Active,Contacted,COLLECTION TEAM,WEEKLY,12/23/2025,"calling A/P dept, no one available, said to call again later today, not able to provide A/P contact name",,,,148
Sylvia,,TTR SUBSTATIONS(CASH ONLY),Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,TUMBLIN COMPANY,Active,Contacted,COLLECTION TEAM,WEEKLY,5/30/2025,This is a April 5th Invoice Emailed invoice Customer paid with CC today,,,,355
Josie,,TURMAN CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,"U.S. TRAFFIC CONTROL WEST, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,UNDERGROUND PIPELINE SPECIALTY INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,11/12/2025,"Emailed Andres letting him know that we can take cc over the phone waiting on response Andres emailed said if he and I can go to the BK office and pay with cc ,Emailed stats report waiting on response ",,,,189
Josie,,UNIFIED FIELD SERVICES CORPORATION,Active,Contacted,COLLECTION TEAM,WEEKLY,1/8/2026,"Cynthia call back asking about reinbursement check, told her Yes, out tomorrow Ck-30530 for $973.00",,,,132
Josie,,UNITED RENTALS (BAKERSFIELD) #434,ON HOLD,Contacted,VP/HIGH LEVEL,WEEKLY,3/16/2026,"This was paid last week via ACH they short paid  balance, went to Victoria said she is going to write off $102.63 she spoke with Priya",,,,65
Josie,,UNITED RENTALS (RIDGECREST) #555,Active,Contacted,COLLECTION TEAM,WEEKLY,10/29/2025,portal unitedrentalsap@cognizant.com = invoice inquary urinvoices@cognizant.com = invoices to portal.,,,,203
Josie,,"V. LOPEZ JR. AND SONS G.E.C., INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,01/07/25,spoke w/nadia she advised Jennifer is not in. she will forward information over to her and have her call me tomorrow when she gets in. I advised i will try again tomorrow to reach her. (visalia),DATE NEEDED
Sylvia,,VALLEY EXCAVATION,Active,Contacted,COLLECTION TEAM,WEEKLY,12/29/2025,"called again A/P no available,",,,,142
Sylvia,,"VALLEY PACIFIC PETROLEUM SERVICES, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"VALLEY WIDE ENGINEERING & CONSTRUCTION, I",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"VIDO SAMARZICH, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,6/5/2025,***lui paid 4900 on 6-5-25***,,,,349
Sylvia,,VISALIA BRANCH SALES,Active,Contacted,COLLECTION TEAM,WEEKLY,7/24/2025,(lui) asked brad to look into it. ,,,,300
Sylvia,,VSS INTERNATIONAL,Active,Contacted,COLLECTION TEAM,WEEKLY,11/13/2025,(lui) per dylan . customer received 15k reduction should pay invoices soon.,,,,188
Sylvia,,VULCAN MATERIALS,Active,Contacted,COLLECTION TEAM,WEEKLY,9/9/2025,left message for Allyson regarding August invoices,,,,253
Lui,,W.A. RASIC CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,4/1/2026,bryce working on it,,,,49
Josie,,WALLACE & SMITH GENERAL CONTRACTORS,Active,Contacted,COLLECTION TEAM,WEEKLY,4/1/2026,made a payment,,,,49
Josie,,WALLACE & SMITH GENERAL CONTRACTORS ,Active,Contacted,COLLECTION TEAM,WEEKLY,4/1/2026,made a payment,,,,49
Sylvia,,"WALSH MONTGOMERY CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,8/21/2025,"calling accounting no answer, no able to live message caling again tomorrow",,,,272
Josie,,WATER ASSOCIATES,Active,Contacted,COLLECTION TEAM,WEEKLY,8/7/2025,Called regarding invoices ending in 167 it also shows he has funds sitting on account need to ask Victoria,,,,286
Sylvia,,WATHEN CASTANOS DBA WCP DEVELOPERS,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,Fresno,WEST COST FOOTBALL,Active,Contacted,COLLECTION TEAM,WEEKLY,11/19/2025,"$850.00 payment tomorrow by check per Anthony, also update all contact information for future invoices.  -talk to Tracy, said he will have accounting reach out to me, nunber on file belongs to a Project Mgr, not accounting or A/P said he will have them call me back",,,,182
Lui,,WEST VALLEY CONSTRUCTION,Active,Contacted,COLLECTION TEAM,DO NOT CALL!,7/17/2025,do not contact legal action,,,,307
Lui,,WEST VALLEY CONSTRUCTION (PG&E),Active,Contacted,COLLECTION TEAM,WEEKLY,7/2/2025,do not contact,,,,322
Sylvia,,"WESTECH SYSTEMS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,7/16/2025,"Marinette replied, payment out yesterday, $395.00 Ck-62052 for June invoices",,,,308
Josie,,WESTROCK LLC DBA WESTROCK GENERAL ENGINEE,Active,Contacted,COLLECTION TEAM,WEEKLY,10/14/2025,Sarah emailed said it will be paid in a few weeks Garrett said to email invoice to ap going foward emailed invoices ,,,,218
Josie,,"WGJ ENTERPRISES, INC (PCI)",Active,Contacted,COLLECTION TEAM,WEEKLY,9/29/2025,Call to confirm invoice no answer emailed invoice ,,,,233
Sylvia,,"WILLOW AVENUE NORTH, L.P.",Active,Contacted,COLLECTION TEAM,WEEKLY,6/10/2025,"$3,227.64 Ck-21201 in the mail today per Susan.(sylviag 6-10-25)  --Susan reply back, said She will check with foreman on the Job, is they approve we may get that payment sooner by next week (6-6-25 sylvia)",,,,344
Sylvia,Fresno,WILSON HOMES INC,,Contacted,COLLECTION TEAM,WEEKLY,3/17/2026,"email Accounting balance report, asking if Feb-28 invoice received and payment information (fresno account)",,,,64
Lui,,WIRING CONNECTIONS INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,4/16/2026,0 bal,,,,34
Sylvia,Modesto,"Womack Striping, Inc.",Active,Promise to Pay,COLLECTION TEAM,WEEKLY,5/1/2026,"Invoices received, hope payment in 2weeks, per Marline",,,,19
Sylvia,,"WOMACK STRIPING, INC. (CASH)",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,WONDERFUL COLLEGE PREP ACADEMY,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,WONDERFUL REAL ESTATE DEVELOPMENT,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,WOODSIDE HOMES.,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,,"WOOLWORTH'S, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,10/28/2025,Called to confirm she recevied invoice Michelle said she will give Emily the message to confirm she recevied invoice ,,,,204
Josie,,WORLD OIL CORP.,Active,Contacted,COLLECTION TEAM,WEEKLY,8/1/2025,$455.00 Dave email payment information with C.C. today,,,,292
Josie,,"XTREME PLUMBING SERVICES, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,7/18/2025,"Called Kim regarding credit card  numbers to confirm they were correct no answer left message waiting for response 
Called again and spoke with Kim she confirmed credit card # we had one wrong # Gave back to Victoria to charge 
credit card went through emailed credit card receipt to Kim ",,,,306
Sylvia,,"YARBS GRADING AND PAVING, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,11/6/2025,jordan working on it ,,,,195
Sylvia,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,
Sylvia,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,
